Recipient,Armament category,Delivery year,Total TIV
Australia,Engines,2007,2.22
Australia,Engines,2006,4.5
Australia,Engines,2005,2.25
Australia,Missiles,2024,32.4
Australia,Missiles,2023,32.4
Australia,Engines,2012,12.0
Australia,Engines,2011,48.0
Australia,Missiles,2019,20.0
Australia,Missiles,2020,40.0
Australia,Missiles,2021,40.0
Australia,Missiles,2022,40.0
Australia,Missiles,2023,40.0
Australia,Missiles,2024,40.0
Australia,Missiles,2015,15.0
Australia,Missiles,2014,7.5
Australia,Missiles,2016,7.5
Australia,Aircraft,2024,495.0
Australia,Aircraft,2023,165.0
Australia,Aircraft,2022,660.0
Australia,Aircraft,2021,825.0
Australia,Aircraft,2020,825.0
Australia,Aircraft,2019,440.0
Australia,Aircraft,2018,440.0
Australia,Aircraft,2014,110.0
Australia,Aircraft,2016,125.0
Australia,Aircraft,2017,500.0
Australia,Aircraft,2018,250.0
Australia,Aircraft,2019,500.0
Australia,Aircraft,2020,125.0
Australia,Aircraft,2016,2.8
Australia,Missiles,2010,2.0
Australia,Missiles,2011,2.0
Australia,Missiles,2012,2.0
Australia,Missiles,2014,4.0
Australia,Missiles,2009,2.0
Australia,Missiles,2015,4.0
Australia,Missiles,2016,4.0
Australia,Missiles,2018,5.0
Australia,Sensors,2017,20.0
Australia,Sensors,2018,20.0
Australia,Sensors,2020,20.0
Australia,Sensors,2017,30.0
Australia,Sensors,2018,30.0
Australia,Sensors,2020,30.0
Australia,Sensors,2017,3.5
Australia,Sensors,2018,3.5
Australia,Sensors,2020,3.5
Australia,Missiles,2018,15.0
Australia,Missiles,2017,15.0
Australia,Missiles,2016,5.0
Australia,Missiles,2019,15.0
Australia,Missiles,2015,2.4
Australia,Missiles,2016,63.6
Australia,Naval weapons,2017,20.0
Australia,Naval weapons,2018,20.0
Australia,Naval weapons,2020,20.0
Australia,Aircraft,2024,35.0
Australia,Missiles,2017,20.0
Australia,Missiles,2018,20.0
Australia,Aircraft,2013,33.0
Australia,Aircraft,2014,66.0
Australia,Aircraft,2015,181.5
Australia,Aircraft,2016,115.5
Australia,Aircraft,1999,280.0
Australia,Aircraft,2000,200.0
Australia,Aircraft,2023,24.0
Australia,Aircraft,2024,50.75
Australia,Aircraft,2023,21.75
Australia,Engines,1996,0.57
Australia,Engines,1995,1.71
Australia,Engines,1994,0.63
Australia,Engines,1996,0.42
Australia,Engines,2005,0.69
Australia,Engines,2004,1.65
Australia,Engines,2003,2.01
Australia,Engines,2002,0.15
Australia,Engines,2013,3.69
Australia,Engines,2012,0.75
Australia,Engines,2014,1.98
Australia,Missiles,2016,4.8
Australia,Missiles,2017,4.8
Australia,Aircraft,2010,14.25
Australia,Missiles,2008,1.0
Australia,Missiles,2007,1.0
Australia,Missiles,2016,39.9
Australia,Missiles,2017,40.26
Australia,Missiles,2018,39.9
Austria,Engines,2019,1.12
Austria,Engines,2020,1.6
Austria,Engines,2022,1.28
Austria,Engines,2023,1.12
Austria,Engines,2024,1.44
Austria,Aircraft,2002,65.25
Austria,Artillery,1997,33.75
Austria,Artillery,1998,33.75
Austria,Missiles,1998,1.8
Azerbaijan,Engines,2010,0.66
Azerbaijan,Engines,2011,0.54
Azerbaijan,Engines,2009,0.3
Azerbaijan,Engines,2014,0.54
Azerbaijan,Engines,2013,0.36
Azerbaijan,Engines,2012,1.8
Azerbaijan,Engines,2024,3.0
Bahamas,Aircraft,1990,1.9
Bahamas,Aircraft,2009,1.0
Bahamas,Aircraft,2005,2.85
Bahamas,Ships,2000,33.0
Bahamas,Ships,1991,3.0
Bahrain,Missiles,2024,1.0
Bahrain,Armoured vehicles,2005,10.5
Bahrain,Armoured vehicles,2010,10.0
Bahrain,Armoured vehicles,2017,10.1
Bahrain,Armoured vehicles,2018,2.0
Bahrain,Missiles,2024,90.0
Bahrain,Air-defence systems,2024,55.0
Bahrain,Air-defence systems,2023,55.0
Bahrain,Armoured vehicles,1991,22.68
Bahrain,Missiles,1992,5.7
Bahrain,Missiles,1991,5.55
Bahrain,Sensors,2024,13.0
Bahrain,Sensors,2023,3.0
Bahrain,Artillery,2019,2.04
Bahrain,Air-defence systems,1997,14.0
Bahrain,Aircraft,2024,520.0
Bahrain,Aircraft,2023,120.0
Bahrain,Missiles,2022,0.28
Bahrain,Missiles,2023,0.28
Bahrain,Missiles,2024,3.96
Bahrain,Missiles,2023,1.8
Bahrain,Aircraft,1997,30.0
Bahrain,Aircraft,1995,36.0
Bahrain,Armoured vehicles,1995,16.8
Bahrain,Armoured vehicles,1996,33.6
Bahrain,Artillery,2005,25.0
Bahrain,Missiles,2008,2.7
Bahrain,Missiles,2007,2.7
Bahrain,Artillery,2017,4.08
Bahrain,Artillery,2017,0.2
Bahrain,Aircraft,1991,7.25
Bahrain,Missiles,2017,2.32
Bahrain,Missiles,2018,0.32
Bahrain,Sensors,2007,15.0
Bahrain,Aircraft,2010,58.0
Bahrain,Armoured vehicles,2017,1.26
Bahrain,Aircraft,1990,342.0
Bahrain,Aircraft,2000,285.0
Bahrain,Missiles,2024,2.5
Bahrain,Missiles,2024,18.0
Bahrain,Missiles,2023,18.0
Bahrain,Aircraft,2023,2.7
Bahrain,Aircraft,2006,2.85
Bahrain,Missiles,2018,4.42
Bahrain,Missiles,1997,2.72
Bahrain,Missiles,1997,2.2
Bahrain,Ships,1997,120.0
Bahrain,Armoured vehicles,1996,0.86
Bahrain,Artillery,1997,21.56
Bahrain,Armoured vehicles,2000,13.68
Bahrain,Missiles,1997,2.52
Bahrain,Armoured vehicles,2001,1.9
Bahrain,Missiles,2003,1.0
Bahrain,Missiles,2002,0.1
Bahrain,Missiles,2013,60.0
Bahrain,Ships,2021,12.0
Bahrain,Missiles,2015,15.0
Bahrain,Sensors,2024,12.0
Bahrain,Sensors,2023,4.0
Bahrain,Ships,1991,8.96
Bahrain,Missiles,1990,8.25
Bahrain,Missiles,1990,11.25
Bahrain,Artillery,1992,10.8
Bahrain,Armoured vehicles,1991,21.0
Bahrain,Armoured vehicles,1992,25.25
Bahrain,Armoured vehicles,1993,0.5
Bahrain,Armoured vehicles,1991,3.0
Bahrain,Missiles,1997,3.6
Bahrain,Missiles,1998,3.6
Bahrain,Missiles,1996,1.9
Bahrain,Missiles,2021,57.6
Bahrain,Missiles,2002,10.4
Bahrain,Missiles,2001,1.35
Bahrain,Missiles,2002,1.35
Bahrain,Missiles,2002,42.0
Bahrain,Aircraft,2005,27.0
Bahrain,Aircraft,2007,9.0
Bahrain,Engines,2022,0.5
Bahrain,Engines,2023,0.5
Bahrain,Sensors,1996,3.0
Bahrain,Sensors,1996,3.0
Bahrain,Artillery,2023,1.0
Bahrain,Artillery,2022,3.0
Bahrain,Ships,2022,43.0
Bahrain,Ships,2024,120.0
Bahrain,Missiles,2022,110.0
Bahrain,Missiles,2021,110.0
Bahrain,Missiles,2022,0.35
Bahrain,Missiles,2023,0.35
Bahrain,Missiles,2024,12.8
Bahrain,Missiles,2017,1.92
Bahrain,Aircraft,2023,87.0
Bahrain,Aircraft,2022,87.0
Bangladesh,Aircraft,2002,4.75
Bangladesh,Aircraft,1997,0.95
Bangladesh,Armoured vehicles,2024,2.43
Bangladesh,Armoured vehicles,2023,4.22
Bangladesh,Armoured vehicles,2022,4.99
Bangladesh,Armoured vehicles,2021,6.4
Bangladesh,Ships,2015,54.0
Bangladesh,Aircraft,2021,2.2
Bangladesh,Aircraft,1995,8.64
Bangladesh,Ships,2013,54.0
Bangladesh,Ships,1992,7.39
Bangladesh,Sensors,1991,18.0
Bangladesh,Sensors,1992,18.0
Bangladesh,Aircraft,2000,60.72
Belgium,Armoured vehicles,2024,23.76
Belgium,Armoured vehicles,2023,11.88
Belgium,Aircraft,2024,6.5
Belgium,Missiles,2024,14.5
Belgium,Aircraft,2024,385.0
Belgium,Aircraft,1990,289.1
Belgium,Aircraft,1991,103.25
Belgium,Missiles,2019,4.0
Belgium,Missiles,2020,3.92
Belgium,Missiles,2020,1.0
Belgium,Missiles,1999,1.5
Belgium,Missiles,2016,2.7
Belgium,Missiles,2017,2.7
Belgium,Missiles,2018,0.54
Belgium,Missiles,2016,1.2
Belgium,Missiles,2012,3.6
Belgium,Missiles,2018,0.72
Belgium,Missiles,2017,4.54
Belgium,Aircraft,2009,9.6
Belgium,Sensors,2007,4.0
Belgium,Sensors,2008,4.0
Belgium,Missiles,1990,12.0
Belgium,Missiles,1991,12.0
Belgium,Missiles,1992,12.0
Belgium,Missiles,1993,12.0
Belgium,Missiles,1994,12.0
Belgium,Missiles,1995,5.4
Belgium,Missiles,1992,2.24
Belgium,Missiles,1998,8.0
Belgium,Missiles,1999,20.8
Belgium,Missiles,1999,7.5
Belgium,Sensors,1996,3.0
Belgium,Sensors,1997,18.0
Belgium,Sensors,1998,18.0
Belgium,Sensors,1999,18.0
Belgium,Sensors,2000,18.0
Belgium,Sensors,2001,18.0
Belgium,Sensors,2002,18.0
Belgium,Sensors,2003,18.0
Belgium,Sensors,2004,9.0
Belgium,Missiles,2002,2.81
Belgium,Missiles,2003,2.81
Belgium,Sensors,2002,8.0
Belgium,Engines,2013,1.5
Belgium,Engines,2012,1.5
Belgium,Engines,2011,1.5
Belgium,Engines,2010,1.85
Belgium,Engines,2009,1.6
Belgium,Engines,2008,1.2
Belgium,Engines,2014,1.5
Belgium,Engines,2015,1.45
Belgium,Missiles,1990,11.55
Belgium,Sensors,2002,8.0
Belgium,Aircraft,2022,0.28
Belgium,Sensors,2015,5.0
Belgium,Missiles,2005,3.0
Belgium,Missiles,2006,3.0
Belize,Aircraft,2023,1.0
Belize,Aircraft,1996,0.18
Benin,Engines,2024,0.36
Bhutan,Engines,2021,0.45
Bolivia,Aircraft,2024,0.1
Bolivia,Aircraft,1991,6.29
Bolivia,Aircraft,1994,9.2
Bolivia,Aircraft,1999,9.2
Bolivia,Aircraft,2000,18.4
Bolivia,Aircraft,2013,0.1
Bolivia,Aircraft,2013,0.44
Bolivia,Aircraft,2011,0.5
Bolivia,Aircraft,2012,1.0
Bolivia,Aircraft,1992,8.5
Bolivia,Aircraft,1993,12.75
Bolivia,Aircraft,1991,4.25
Bolivia,Aircraft,2014,5.7
Bosnia and Herz.,Armoured vehicles,2019,0.47
Bosnia and Herz.,Armoured vehicles,2017,0.47
Bosnia and Herz.,Armoured vehicles,2020,0.31
Bosnia and Herz.,Armoured vehicles,1996,37.8
Bosnia and Herz.,Armoured vehicles,1996,8.0
Bosnia and Herz.,Aircraft,1999,15.72
Bosnia and Herz.,Artillery,1997,25.2
Bosnia and Herz.,Aircraft,2021,12.4
Botswana,Aircraft,2024,11.2
