Recipient,Delivery year,Armament category,Total TIV
Belgium,2010,Engines,1.85
Belgium,2011,Engines,1.5
Belgium,2012,Engines,1.5
Belgium,2012,Missiles,3.6
Belgium,2013,Engines,1.5
Belgium,2014,Engines,1.5
Belgium,2015,Engines,1.45
Belgium,2015,Sensors,5.0
Belgium,2016,Missiles,3.9000000000000004
Belgium,2017,Missiles,7.24
Belgium,2018,Missiles,1.26
Belgium,2019,Missiles,4.0
Belgium,2020,Missiles,4.92
Belgium,2022,Aircraft,0.28
Belgium,2023,Armoured vehicles,11.88
Belgium,2024,Aircraft,391.5
Belgium,2024,Armoured vehicles,23.76
Belgium,2024,Missiles,14.5
Belize,1996,Aircraft,0.18
Belize,2023,Aircraft,1.0
Benin,2024,Engines,0.36
Bhutan,2021,Engines,0.45
Bolivia,1991,Aircraft,10.54
Bolivia,1992,Aircraft,8.5
Bolivia,1993,Aircraft,12.75
Bolivia,1994,Aircraft,9.2
Bolivia,1999,Aircraft,9.2
Bolivia,2000,Aircraft,18.4
Bolivia,2011,Aircraft,0.5
Bolivia,2012,Aircraft,1.0
Bolivia,2013,Aircraft,0.54
Bolivia,2014,Aircraft,5.7
Bolivia,2024,Aircraft,0.1
Bosnia and Herz.,1996,Armoured vehicles,45.8
Bosnia and Herz.,1997,Artillery,25.2
Bosnia and Herz.,1999,Aircraft,15.72
Bosnia and Herz.,2017,Armoured vehicles,0.47
Bosnia and Herz.,2019,Armoured vehicles,0.47
Bosnia and Herz.,2020,Armoured vehicles,0.31
Bosnia and Herz.,2021,Aircraft,12.4
Botswana,1990,Aircraft,10.0
Botswana,1993,Aircraft,1.26
Botswana,1997,Aircraft,18.4
Botswana,2001,Aircraft,15.18
Botswana,2009,Engines,1.0
Botswana,2010,Engines,1.0
Botswana,2018,Aircraft,1.52
Botswana,2019,Aircraft,1.52
Botswana,2024,Aircraft,11.2
Brazil,1990,Aircraft,1.0
Brazil,1990,Ships,38.0
Brazil,1991,Armoured vehicles,4.8
Brazil,1991,Engines,7.0
Brazil,1991,Sensors,12.0
Brazil,1992,Engines,7.0
Brazil,1992,Missiles,7.0
Brazil,1993,Missiles,7.0
Brazil,1994,Engines,7.0
Brazil,1994,Ships,30.17
Brazil,1995,Missiles,10.5
Brazil,1996,Aircraft,45.13
Brazil,1996,Missiles,10.85
Brazil,1997,Aircraft,40.53
Brazil,1997,Armoured vehicles,90.44
Brazil,1997,Missiles,10.5
Brazil,1999,Sensors,11.0
Brazil,2000,Sensors,22.0
Brazil,2001,Aircraft,70.9
Brazil,2001,Sensors,40.5
Brazil,2002,Aircraft,44.8
Brazil,2002,Engines,13.0
Brazil,2002,Sensors,12.5
Brazil,2003,Engines,7.8
Brazil,2004,Sensors,20.0
Brazil,2005,Aircraft,3.0
Brazil,2005,Sensors,15.0
Brazil,2006,Aircraft,18.5
Brazil,2007,Aircraft,18.5
Brazil,2007,Engines,0.25
Brazil,2008,Aircraft,18.5
Brazil,2008,Engines,7.1
Brazil,2008,Sensors,7.5
Brazil,2009,Engines,0.25
Brazil,2010,Engines,0.15
Brazil,2010,Missiles,16.0
Brazil,2011,Aircraft,60.41
Brazil,2011,Engines,0.15
Brazil,2011,Missiles,16.0
Brazil,2012,Aircraft,111.11
Brazil,2012,Engines,0.2
Brazil,2012,Missiles,16.0
Brazil,2013,Aircraft,67.61
Brazil,2013,Engines,1.0699999999999998
Brazil,2014,Aircraft,11.2
Brazil,2014,Engines,4.55
Brazil,2015,Aircraft,34.0
Brazil,2015,Artillery,2.0
Brazil,2015,Engines,0.78
Brazil,2016,Aircraft,24.0
